word_id,word,tag
1,Matapos,FIL
2,ang,FIL
3,matagumpay,FIL
4,na,FIL
5,mga,FIL
6,konsultasyon,FIL
7,kasama,FIL
8,ang,FIL
9,pro,ENG
10,sports,ENG
11,stakeholders,ENG
12,",",OTH
13,papayagan,FIL
14,na,FIL
15,muli,FIL
16,ang,FIL
17,training,ENG
18,activities,ENG
19,sa,FIL
20,mga,FIL
21,Games,ENG
22,and,ENG
23,Amusement,ENG
24,Board-regulated,OTH
25,sports,ENG
26,ngayong,FIL
27,taon,FIL
28,sa,FIL
29,pahintulot,FIL
30,nina,FIL
31,GAB,OTH
32,Chairman,ENG
33,Abraham,OTH
34,Kahlil,OTH
35,Mitra,OTH
36,",",OTH
37,at,FIL
38,Commissioners,ENG
39,Ed,OTH
40,Trinidad,OTH
41,at,FIL
42,Mar,OTH
43,Masanguid,OTH
44,.,OTH
45,Gusto,FIL
46,kong,FIL
47,intindihin,FIL
48,pero,FIL
49,hindi,FIL
50,ko,FIL
51,maintindihan,FIL
52,hahaha,OTH
53,paano,FIL
54,ba,FIL
55,itong,FIL
56,mga,FIL
57,draw,ENG
58,na,FIL
59,ganyan,FIL
60,po,FIL
61,?,OTH
62,Kaya,FIL
63,kayong,FIL
64,mga,FIL
65,babae,FIL
66,wag,FIL
67,kayong,FIL
68,basta,FIL
69,basta,FIL
70,magtiwala,FIL
71,na,FIL
72,kahit,FIL
73,kanino,FIL
74,kasi,FIL
75,.,OTH
76,Kasalan,FIL
77,naman,FIL
78,nila,FIL
79,bakit,FIL
80,hindi,FIL
81,nila,FIL
82,sinabi,FIL
83,agad,FIL
84,ang,FIL
85,totuo,FIL
86,",",OTH
87,At,FIL
88,sila-sila,OTH
89,rin,FIL
90,ang,FIL
91,umuunlad,FIL
92,?,OTH
93,Nakakamiss,FIL
94,ung,FIL
95,mga,FIL
96,gantong,FIL
97,content,FIL
98,ni,FIL
99,kuya,FIL
100,lloyd,OTH
101,.,OTH
102,pero,FIL
103,pag,FIL
104,nag,FIL
105,bibigay,FIL
106,ako,FIL
107,sa,FIL
108,thai,OTH
109,artist,ENG
110,hindi,FIL
111,naman,FIL
112,?,OTH
113,Sa,FIL
114,pamamagitan,FIL
115,ng,FIL
116,pagsunod,FIL
117,sa,FIL
118,daan,FIL
119,na,FIL
120,ginawa,FIL
121,ng,FIL
122,bundok,FIL
123,",",OTH
124,nagawa,FIL
125,ng,FIL
126,maliit,FIL
127,na,FIL
128,sapa,FIL
129,na,FIL
130,makabalik,FIL
131,sa,FIL
132,tahanan,FIL
133,nito,FIL
134,;,OTH
135,sumama,FIL
136,ito,FIL
137,sa,FIL
138,ilog,FIL
139,",",OTH
140,at,FIL
141,dumaloy,FIL
142,sa,FIL
143,dagat,FIL
144,.,OTH
145,Sana,FIL
146,maging,FIL
147,ihimplo,FIL
148,ka,FIL
149,nang,FIL
150,mga,FIL
151,Youtuber,OTH
152,.,OTH
153,Ako,FIL
154,na,FIL
155,lng,FIL
156,epadala,FIL
157,sa,FIL
158,akin,FIL
159,welleng,ENG
160,ako,FIL
161,mag,FIL
162,alaga,FIL
163,ka,FIL
164,mga,FIL
165,anak,FIL
166,mo,FIL
167,maarod,FIL
168,kaw,FIL
169,cge,FIL
170,Basta,FIL
171,padal,FIL
172,an,OTH
173,mo,FIL
174,at,FIL
175,may,FIL
176,kasuduan,FIL
177,Tayo,FIL
178,para,FIL
179,sa,FIL
180,mga,FIL
181,anak,FIL
182,mo,FIL
183,tayaas,FIL
184,ng,FIL
185,pride,FIL
186,ng,FIL
187,mga,FIL
188,viewers,ENG
189,sa,FIL
190,video,ENG
191,ko,FIL
192,HAHAHAHA,OTH
193,kung,FIL
194,nagreact,CS
195,kayo,FIL
196,don,FIL
197,HAHAHAHA,FIL
198,Dahil,FIL
199,dito,FIL
200,",",FIL
201,48,OTH
202,",",OTH
203,530,OTH
204,na,FIL
205,ang,FIL
206,total,ENG
207,recoveries,ENG
208,sa,FIL
209,hanay,FIL
210,ng,FIL
211,PNP,OTH
212,sa,FIL
213,naturang,FIL
214,sakit,FIL
215,.,OTH
216,Mejo,FIL
217,bumabalik,FIL
218,na,FIL
219,ulit,FIL
220,ang,FIL
221,kamandag,FIL
222,sa,FIL
223,dots,ENG
224,hahahaah,OTH
225,Busy,OTH
226,sa,FIL
227,pagpapadami,FIL
228,ng,FIL
229,votes,ENG
230,dun,FIL
231,sa,FIL
232,picture,ENG
233,ni,FIL
234,Belinda,OTH
235,whahaaahah,OTH
236,Kaya,FIL
237,ito,FIL
238,ngayon,FIL
239,ang,FIL
240,kinakatakutan,FIL
241,ng,FIL
242,mga,FIL
243,tao,FIL
244,sa,FIL
245,amin,FIL
246,.,OTH
247,Ikaw,FIL
248,pa,FIL
249,rin,FIL
250,ang,FIL
251,pipiliin,FIL
252,ko,FIL
253,Sa,FIL
254,isang,FIL
255,paabiso,FIL
256,",",OTH
257,sinabi,FIL
258,ng,FIL
259,DepEd,OTH
260,na,FIL
261,ang,FIL
262,mga,FIL
263,EOSY,OTH
264,Rites,ENG
265,para,FIL
266,sa,FIL
267,Kindergarten,ENG
268,",",OTH
269,Grades,ENG
270,6,OTH
271,",",OTH
272,10,OTH
273,",",OTH
274,at,FIL
275,12,OTH
276,learners,ENG
277,ay,FIL
278,maaaring,FIL
279,idaos,FIL
280,sa,FIL
281,anumang,FIL
282,petsa,FIL
283,mula,FIL
284,Hunyo,FIL
285,27,OTH
286,hanggang,FIL
287,Hulyo,FIL
288,2,OTH
289,",",OTH
290,2022,OTH
291,.,OTH
292,Alamin,FIL
293,ang,FIL
294,4S,OTH
295,LABAN,FIL
296,SA,FIL
297,DENGUE,FIL
298,upang,FIL
299,maiwasan,FIL
300,ang,FIL
301,sakit,FIL
302,na,FIL
303,ito,FIL
304,sa,FIL
305,ating,FIL
306,komunidad,FIL
307,.,OTH
308,yung,FIL
309,may,FIL
310,natutunan,FIL
311,ka,FIL
312,ng,FIL
313,recipe,ENG
314,tapos,FIL
315,ang,FIL
316,gwapo,FIL
317,pa,FIL
318,ng,FIL
319,chef,ENG
320,!,OTH
321,Ito,FIL
322,ang,FIL
323,kantang,FIL
324,isinulat,FIL
325,ng,FIL
326,TV,OTH
327,host-comedian,ENG
328,para,FIL
329,sa,FIL
330,kanya,FIL
331,sa,FIL
332,tulong,FIL
333,na,FIL
334,rin,FIL
335,ng,FIL
336,mag-asawang,FIL
337,Moira,OTH
338,dela,OTH
339,Torre,OTH
340,at,FIL
341,Jason,OTH
342,Marvin,OTH
343,.,OTH
344,May,FIL
345,mga,FIL
346,bahagi,FIL
347,din,FIL
348,ito,FIL
349,katulad,FIL
350,ng,FIL
351,mga,FIL
352,talulot,FIL
353,na,FIL
354,napagkukunan,FIL
355,ng,FIL
356,.,OTH
357,Huwag,FIL
358,mong,FIL
359,hamakin,FIL
360,palagi,FIL
361,ang,FIL
362,iyong,FIL
363,sarili,FIL
364,.,OTH
365,Wala,FIL
366,nang,FIL
367,ibang,FIL
368,kayang,FIL
369,gawin,FIL
370,?,OTH
371,Kulang,FIL
372,pa,FIL
373,yan,FIL
374,kuya,FIL
375,gawin,FIL
376,mo,FIL
377,anim,FIL
378,ang,FIL
379,puge,FIL
380,mo,FIL
381,naman,FIL
382,Ayon,FIL
383,sa,FIL
384,2018,OTH
385,Programme,ENG
386,for,ENG
387,International,ENG
388,Student,ENG
389,Assessment,ENG
390,(,OTH
391,PISA,OTH
392,),OTH
393,",",OTH
394,94,OTH
395,%,OTH
396,ng,FIL
397,mga,FIL
398,estudyanteng,FIL
399,nakilahok,FIL
400,dito,FIL
401,na,FIL
402,nasa,FIL
403,edad,FIL
404,na,FIL
405,15,OTH
406,ay,FIL
407,gumagamit,FIL
408,sa,FIL
409,bahay,FIL
410,ng,FIL
411,lengguwaheng,FIL
412,iba,FIL
413,sa,FIL
414,ginamit,FIL
415,na,FIL
416,medium,ENG
417,of,ENG
418,instruction,ENG
419,sa,FIL
420,mismong,FIL
421,assessment,ENG
422,.,OTH
423,Natanggal,FIL
424,na,FIL
425,sama,FIL
426,ng,FIL
427,loob,FIL
428,ko,FIL
429,ng,FIL
430,dahil,FIL
431,sa,FIL
432,basketball,ENG
433,mukhang,FIL
434,sa,FIL
435,literature,ENG
436,pa,FIL
437,ako,FIL
438,babagsak,FIL
439,ah,FIL
440,Malakas,FIL
441,ang,FIL
442,kanyang,FIL
443,ugnay,FIL
444,sa,FIL
445,mga,FIL
446,sambayanang,FIL
447,Pilipino,FIL
448,at,FIL
449,mga,FIL
450,kababayang,FIL
451,naninirahan,FIL
452,sa,FIL
453,ibang,FIL
454,bansa,FIL
455,.,OTH
456,Umay,FIL
457,ang,FIL
458,galing,FIL
459,ni,FIL
460,hesa,OTH
461,bakit,FIL
462,sa,FIL
463,classic,ENG
464,lods,OTH
465,Natalu,FIL
466,ako,FIL
467,ni,FIL
468,hesa,OTH
469,sa,FIL
470,classic,ENG
471,.,OTH
472,lakas,FIL
473,magbigay,FIL
474,ng,FIL
475,ano,FIL
476,",",OTH
477,di,FIL
478,naman,FIL
479,pala,FIL
480,totoo,FIL
481,Kapagod,FIL
482,na,FIL
483,mag,FIL
484,pawis,FIL
485,At,FIL
486,May,ENG
487,mask,ENG
488,pa,FIL
489,Kaya,FIL
490,ang,FIL
491,saya,FIL
492,ko,FIL
493,na,FIL
494,malamig,FIL
495,na,FIL
496,.,OTH
497,na,FIL
498,magtala,FIL
499,ng,FIL
500,pinakamataas,FIL
501,na,FIL
502,arawang,FIL
503,pagtala,FIL
504,ng,FIL
505,mga,FIL
506,kaso,FIL
507,.,OTH
508,Kung,FIL
509,totoong,FIL
510,may,FIL
511,ibang,FIL
512,tao,FIL
513,na,FIL
514,nagkanulo,FIL
515,sa,FIL
516,Diyos,FIL
517,",",OTH
518,tiyak,FIL
519,na,FIL
520,lubhang,FIL
521,nasasaktan,FIL
522,at,FIL
523,nagdadalamhati,FIL
524,ngayon,FIL
525,ang,FIL
526,Diyos,FIL
527,",",OTH
528,at,FIL
529,dapat,FIL
530,kong,FIL
531,subukan,FIL
532,ngayong,FIL
533,aliwin,FIL
534,ang,FIL
535,puso,FIL
536,ng,FIL
537,Diyos,FIL
538,sa,FIL
539,pamamagitan,FIL
540,ng,FIL
541,aking,FIL
542,sariling,FIL
543,katapatan,FIL
544,.,OTH
545,Ito,FIL
546,ang,FIL
547,bagong,FIL
548,ticket,ENG
549,para,FIL
